URN,LA (name),LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,Rand
137545,Calderdale,381,5203,"St John's (CofE) Primary Academy, Clifton",Academy converter,Open,01/10/2011,,Primary,4,11,No boarders,No Nursery Classes,Not applicable,Mixed,Church of England,Does not apply,Diocese of Leeds (ce),Not applicable,Supported by a single-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10035499,Not applicable,Towngate,Clifton,,Brighouse,West Yorkshire,HD6 4HP,http://www.stjohnsacademyclifton.co.uk/,1484713036,,Helen,Lever,27
142975,Poole,836,2259,Oakdale Junior School,Academy converter,Open,01/07/2016,,Middle deemed primary,7,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10057143,Not applicable,School Lane,,,Poole,Dorset,BH15 3JR,www.oakdalejunior.co.uk,1202685800,Mrs,Eileen,Bissell,66
140030,Northamptonshire,928,2120,St Peter's Church of England Academy,Academy sponsor led,Open,01/11/2013,,Primary,7,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,None,Diocese of Peterborough,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,Linked to a sponsor,Manor School Sports College,Not applicable,,10042943,Not applicable,Mountbatten Way,Raunds,,Wellingborough,Northamptonshire,NN9 6PA,www.stpetersschoolraunds.co.uk,1933622400,Mrs,Sarah,Folkard,75
137399,Kirklees,382,5400,Castle Hall Academy,Academy converter,Open,01/09/2011,,Secondary,11,16,No boarders,Not applicable,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10035011,Not applicable,Richard Thorpe Avenue,Crowlees Road,,Mirfield,West Yorkshire,WF14 9PH,http://www.castlehall.com,1924520500,Mr,Andy,Pugh,75
140364,Norfolk,926,4011,Cliff Park Ormiston Academy,Academy sponsor led,Open,01/01/2014,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Samuel Ward Academy Trust,Linked to a sponsor,Ormiston Academies Trust,Not applicable,,10044155,Not applicable,Kennedy Avenue,Gorleston,,Great Yarmouth,Norfolk,NR31 6TA,http://www.cliffparkoa.co.uk/,1493661504,,Tamsin,Poulter,50
140611,Hertfordshire,919,2038,Wilshere-Dacre Junior Academy,Academy sponsor led,Open,01/03/2014,,Primary,7,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,REAch2 Academy Trust,Not applicable,,10044936,Not applicable,Fishponds Road,,,Hitchin,Hertfordshire,SG5 1NS,www.wilshere.herts.sch.uk/,1462459215,Mrs,Sarah,Smith,3
141334,Nottingham,892,2012,Jubilee L.E.A.D. Academy,Academy sponsor led,Open,01/12/2014,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,L.E.A.D. Multi-Academy Trust,Not applicable,,10047453,Not applicable,Highwood Avenue,Bilborough,,Nottingham,Nottinghamshire,NG8 3AF,http://www.jubilee.nottingham.sch.uk/,1159155720,Mrs,Nicola,McIntyre,9
144156,North Yorkshire,815,3022,Croft Church of England Primary School,Academy converter,Open,01/01/2018,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Leeds (ce),Not applicable,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Dales Academies Trust,Not applicable,,10066362,Not applicable,South Parade,Croft-on-Tees,,Darlington,County Durham,DL2 2SP,http://www.croftprimaryschool.org,1325720528,Mr,Simon,Robson,12
136044,Lincolnshire,925,6909,St George's Academy,Academy sponsor led,Open,01/01/2010,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,REAch2 Academy Trust,Linked to a sponsor,This is a co-sponsored academy. Details of the sponsors of co-sponsored academies are not included in the current version of performance tables but this information will be available early in 2016,Not applicable,,10029212,Not applicable,Westgate,,,Sleaford,Lincolnshire,NG34 7PP,http://www.st-georges-academy.org/,1529302487,Mr,Wayne,Birks,20
142722,Havering,311,7003,Ravensbourne School,Academy special converter,Open,01/04/2016,,Not applicable,2,19,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Hornbeam Academy Trust,Not applicable,,10056097,Not applicable,Neave Crescent,Faringdon Avenue,Harold Hill,Romford,Essex,RM3 8HN,http://www.ravensbourne-special-needs.org.uk/,1708341800,Mrs,Jane,Murray,55
135300,Bristol City of,801,6907,Bristol Brunel Academy,Academy sponsor led,Open,01/09/2007,,Secondary,11,19,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,Cabot Learning Federation,Not applicable,,10021092,Not applicable,Speedwell Road,Speedwell,,Bristol,,BS15 1NU,http://www.bba.bristol.sch.uk/,1173772700,Mr,Jon,Jones,53
139928,Medway,887,2004,Saxon Way Primary School,Academy sponsor led,Open,01/09/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,REAch2 Academy Trust,Linked to a sponsor,The Griffin Schools Trust,Not applicable,,10042702,Not applicable,,Ingram Road,,Gillingham,Kent,ME7 1SJ,http://www.saxonway-gst.org/,3000658400,Mrs,Angela,Sandow,99
